team_id,team,media_market_rank,avg_eval,predicted,residual
8,Dallas Cowboys,4,5691.666666666667,3404.9523320676385,2286.7143345990285
21,New England Patriots,10,4400.0,3264.415421946391,1135.5845780536094
11,Green Bay Packers,68,3010.4166666666665,1905.8919574409945,1104.524709225672
23,New York Giants,1,4112.5,3475.2207871282626,637.2792128717376
31,Washington Commanders,8,3770.8333333333335,3311.2610586534734,459.57227467986024
27,San Francisco 49ers,9,3681.25,3287.838240299932,393.41175970006805
18,Los Angeles Rams,2,3808.75,3451.797968774721,356.95203122527886
5,Chicago Bears,3,3631.25,3428.3751504211796,202.8748495788202
24,New York Jets,1,3629.1666666666665,3475.2207871282626,153.94587953840409
22,New Orleans Saints,50,2431.6666666666665,2327.5026878047383,104.1639788619284
2,Baltimore Ravens,29,2894.1666666666665,2819.3818732291056,74.78479343756086
19,Miami Dolphins,18,3126.6666666666665,3077.03287511806,49.63379154860641
26,Pittsburgh Steelers,27,2911.25,2866.227509936188,45.022490063811716
25,Philadelphia Eagles,5,3425.0,3381.529513714097,43.47048628590284
9,Denver Broncos,17,3125.0,3100.4556934716015,24.54430652839858
12,Houston Texans,6,3375.0,3358.106695360556,16.893304639444125
3,Buffalo Bills,55,2122.9166666666665,2210.3885960370317,-87.47192937036505
14,Jacksonville Jaguars,41,2431.6666666666665,2538.30805298661,-106.64138631994342
13,Indianapolis Colts,26,2775.0,2889.6503282897297,-114.6503282897296
16,Las Vegas Raiders,9,3125.8333333333335,3287.838240299932,-162.00490696659844
28,Seattle Seahawks,13,2987.5,3194.1469668857667,-206.64696688576666
15,Kansas City Chiefs,32,2523.3333333333335,2749.1134181684815,-225.78008483514822
20,Minnesota Vikings,16,2789.5833333333335,3123.8785118251426,-334.2951784918092
30,Tennessee Titans,25,2493.75,2913.073146643271,-419.3231466432709
4,Carolina Panthers,21,2567.5,3006.764420057436,-439.26442005743615
6,Cincinnati Bengals,37,2124.9166666666665,2631.9993264007753,-507.08265973410863
1,Atlanta Falcons,7,2811.0833333333335,3334.6838770070144,-523.600543673681
7,Cleveland Browns,19,2526.6666666666665,3053.610056764519,-526.9433900978523
29,Tampa Bay Buccaneers,11,2526.25,3240.9926035928493,-714.7426035928493
0,Arizona Cardinals,12,2373.4166666666665,3217.5697852393077,-844.1531185726415
17,Los Angeles Chargers,2,2607.4166666666665,3451.797968774721,-844.3813021080546
10,Detroit Lions,14,2138.3333333333335,3170.7241485322256,-1032.390815198892
